points,threads,efficiency,error
1024,1,0.05,0.020498903589793
1024,2,0.02,0.032217653589793
1024,3,0.01,0.000967653589793
1024,4,0.01,0.049813596410207
1024,5,0.01,0.018563596410207
1024,6,0.00,0.045907346410207
1024,7,0.01,0.006844846410207
1024,8,0.00,0.026376096410207
1024,9,0.00,0.026376096410207
1024,10,0.00,0.012686403589793
1024,11,0.00,0.020498903589793
1024,12,0.00,0.012686403589793
1024,13,0.00,0.008780153589793
1024,14,0.00,0.000967653589793
1024,15,0.00,0.016592653589793
1024,16,0.00,0.008780153589793
2048,1,0.10,0.010733278589793
2048,2,0.05,0.051748903589793
2048,3,0.04,0.038077028589793
2048,4,0.02,0.002920778589793
2048,5,0.01,0.020498903589793
2048,6,0.01,0.006844846410207
2048,7,0.05,0.002938596410207
2048,8,0.01,0.038094846410207
2048,9,0.00,0.030282346410207
2048,10,0.00,0.026376096410207
2048,11,0.00,0.026376096410207
2048,12,0.00,0.012704221410207
2048,13,0.00,0.006844846410207
2048,14,0.00,0.002920778589793
2048,15,0.00,0.006827028589793
2048,16,0.00,0.006844846410207
3072,1,0.23,0.000967653589793
3072,2,0.12,0.013988486923127
3072,3,0.05,0.029613486923127
3072,4,0.04,0.011384320256460
3072,5,0.02,0.007478070256460
3072,6,0.01,0.000967653589793
3072,7,0.01,0.017894736923127
3072,8,0.01,0.001636513076873
3072,9,0.01,0.017261513076873
3072,10,0.01,0.004240679743540
3072,11,0.01,0.017261513076873
3072,12,0.01,0.035490679743540
3072,13,0.01,0.028980263076873
3072,14,0.00,0.023771929743540
3072,15,0.00,0.010751096410207
3072,16,0.00,0.012053179743540
4096,1,0.16,0.000008908910207
4096,2,0.09,0.030264528589793
4096,3,0.06,0.014639528589793
4096,4,0.02,0.031241091089793
4096,5,0.03,0.021475466089793
4096,6,0.02,0.000967653589793
4096,7,0.02,0.005868283910207
4096,8,0.01,0.004873903589793
4096,9,0.01,0.004891721410207
4096,10,0.01,0.012704221410207
4096,11,0.01,0.001944216089793
4096,12,0.01,0.021493283910207
4096,13,0.00,0.017587033910207
4096,14,0.01,0.017587033910207
4096,15,0.00,0.027352658910207
4096,16,0.01,0.039071408910207
5120,1,0.20,0.009188596410207
5120,2,0.12,0.005655153589793
5120,3,0.07,0.015030153589793
5120,4,0.05,0.013467653589793
5120,5,0.04,0.033780153589793
5120,6,0.03,0.009561403589793
5120,7,0.02,0.009561403589793
5120,8,0.02,0.001376096410207
5120,9,0.02,0.013094846410207
5120,10,0.01,0.001376096410207
5120,11,0.01,0.000186403589793
5120,12,0.02,0.021688596410207
5120,13,0.01,0.024032346410207
5120,14,0.01,0.000594846410207
5120,15,0.01,0.017782346410207
5120,16,0.01,0.016219846410207
6144,1,0.22,0.010751096410207
6144,2,0.13,0.008797971410207
6144,3,0.08,0.026358278589793
6144,4,0.04,0.020498903589793
6144,5,0.04,0.013988486923127
6144,6,0.03,0.020498903589793
6144,7,0.02,0.010082236923127
6144,8,0.02,0.004222861923127
6144,9,0.02,0.004222861923127
6144,10,0.02,0.000985471410207
6144,11,0.01,0.000334429743540
6144,12,0.02,0.012704221410207
6144,13,0.01,0.017261513076873
6144,14,0.01,0.008797971410207
6144,15,0.01,0.010751096410207
6144,16,0.01,0.015959429743540
7168,1,0.25,0.004612703553064
7168,2,0.14,0.013541274981635
7168,3,0.10,0.017708725018365
